"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"Slc35f2"	0.775740703292287	3.10817870953957	6.70004902515693	1.73500637345708e-08	1.32566108984383e-06	9.34685879437248
"RGD1559747"	0.302756350201157	4.35755386077796	6.7469721749649	1.46459763729282e-08	1.12443075336197e-06	9.33602742123219
"Cdc42se2"	-0.218668142129728	7.65228580070202	-6.78737937965638	1.26575352219149e-08	9.90824411562545e-07	9.2642653755498
"Nkiras1"	0.403910996328826	6.66132077447777	6.77502454932015	1.32350346794134e-08	1.03097692095391e-06	9.25540036428698
"Cnp"	0.419574724582476	7.27363060203272	6.76542611844911	1.37018129022433e-08	1.06215655454332e-06	9.19536297827007
"Eml1"	0.341076297164216	5.95657718398408	6.74771784173845	1.46065939399433e-08	1.12443075336197e-06	9.17658748865352
"Grem1"	0.892008087120864	3.18723542409588	6.64338313790178	2.12887389820187e-08	1.61885653716122e-06	9.12531345594032
"Opn3"	0.806954456192336	3.10068756393806	6.63060809872708	2.22934910399332e-08	1.67926772838063e-06	9.09231346162892
"Tgfb2"	-0.846924249584823	5.36479150750707	-6.62338616922991	2.28823094973313e-08	1.70751215122843e-06	8.82094038223148
"Gpd2"	0.367622342466727	5.89604835162331	6.63355905988613	2.20572712258288e-08	1.66934864552256e-06	8.77081964131354
"Grm7"	0.250367994356647	6.93042098072398	6.62739856925672	2.25532784784443e-08	1.69086058226421e-06	8.70448358034845
"Spats2l"	-0.319297647131394	5.80267680805225	-6.60916168516956	2.40878744978369e-08	1.78911287374864e-06	8.70177067757993
"RGD1311739"	-0.314093672827081	5.46297094301319	-6.58970362616848	2.58403893644247e-08	1.86724575629092e-06	8.6481278588041
"Gjc2"	0.86027518945219	1.77488456343269	6.49942840735059	3.5790157419678e-08	2.48492619058625e-06	8.63507308044925
"Dixdc1"	0.296954683329744	6.49101656728493	6.60052670522638	2.48504457603842e-08	1.82874086796117e-06	8.62232447996935
